['DA', 'dl', ' gal', ' del', ' al'] matches ['albums'] is True
[' ', ' has', ' is', ' was', ' will'] matches ['seemed'] is False
[' ob', '-', ' int', '--', 'Int'] matches ['sent'] is False
[' ', ' has', ' will', ' involved', ' was'] matches ['spent'] is False
[' ob', '-', ' int', '--', 'Int'] matches ['told'] is False
[' understood', ' ', ' explained', ' is', ' has'] matches ['understood'] is True
[' ', ' has', ' involved', ' will', ' is'] matches ['united'] is False
verb_inf - Ved,50,25,75
['emb', 'Emb', 'comm', ' intellectually', ' altogether'] matches ['added'] is False
[' ', ' said', ' told', ' asked', ' wrote'] matches ['agreed'] is False
[' ', ' said', ' was', ' made', ' told'] matches ['allowed'] is False
[' ', ' announced', ' said', ' told', ' made'] matches ['announced'] is True
[' ', ' said', ' was', ' became', ' wrote'] matches ['appeared'] is False
[' ', ' said', ' made', ' wrote', ' was'] matches ['applied'] is False
[' ', ' said', ' told', ' was', ' made'] matches ['appointed'] is False
['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['asked'] is False
[' ', ' said', ' was', ' began', ' became'] matches ['attended'] is False
[' ', ' said', ' became', ' was', ' wrote'] matches ['became'] is True
[' ', ' said', ' was', ' considered', ' discussed'] matches ['considered'] is True
['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['contained'] is False
[' ', ' continued', ' began', ' was', ' said'] matches ['continued'] is True
[' created', ' ', ' wrote', ' said', ' produced'] matches ['created'] is True
[' ', ' told', ' said', ' decided', ' announced'] matches ['decided'] is True
[' ', ' described', ' wrote', ' said', ' told'] matches ['described'] is True
[' ', ' created', ' revealed', ' began', ' became'] matches ['developed'] is False
[' ', ' created', ' caused', ' became', ' stated'] matches ['established'] is False
['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['existed'] is False
[' ', ' said', ' was', ' asked', ' requested'] matches ['expected'] is False
[' ', ' said', ' made', ' was', ' told'] matches ['failed'] is False
[' ', ' was', ' wrote', ' said', ' caused'] matches ['followed'] is False
[' ', ' said', ' was', ' told', ' made'] matches ['heard'] is False
[' ', ' said', ' became', ' wrote', ' made'] matches ['improved'] is False
['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['included'] is False
[' ', ' introduced', ' became', ' announced', ' began'] matches ['introduced'] is True
[' ', ' was', ' involved', ' said', ' occurred'] matches ['involved'] is True
[' ', ' said', ' told', ' caused', ' made'] matches ['located'] is False
[' ', ' said', ' wrote', ' told', ' made'] matches ['lost'] is False
[' ', ' was', ' became', ' made', ' said'] matches ['managed'] is False
[' ', ' said', ' was', ' became', ' told'] matches ['married'] is False
[' ', ' was', ' said', ' caused', ' did'] matches ['operated'] is False
['emb', 'Emb', ' intellectually', 'comm', ' altogether'] matches ['performed'] is False
[' ', ' suggested', ' proposed', ' requested', ' said'] matches ['proposed'] is True
[' ', ' provided', ' said', ' stated', ' made'] matches ['provided'] is True
[' published', ' wrote', ' ', ' written', ' said'] matches ['published'] is True
[' received', ' ', ' was', ' said', ' became'] matches ['received'] is True
[' ', ' made', ' became', ' brought', ' said'] matches ['reduced'] is False
[' ', ' related', ' said', ' revealed', ' told'] matches ['related'] is True
[' ', ' was', ' became', ' were', ' made'] matches ['remained'] is False
[' ', ' was', ' became', ' wrote', ' said'] matches ['replaced'] is False
[' ', ' represented', ' said', ' wrote', ' presented'] matches ['represented'] is True
[' ', ' required', ' was', ' said', ' requested'] matches ['required'] is True
[' ', ' said', ' sent', ' wrote', ' told'] matches ['sent'] is True
[' ', ' said', ' was', ' wrote', ' began'] matches ['spent'] is False
[' ', ' said', ' was', ' caused', ' became'] matches ['suffered'] is False
[' ', ' told', ' taught', ' said', ' wrote'] matches ['taught'] is True
['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['told'] is False
[' ', ' was', ' understood', ' became', ' explained'] matches ['understood'] is True
[' ', ' became', ' said', ' caused', ' made'] matches ['united'] is False
verb_Ving - Ved,50,44,106
['OG', 'Arm', 'Auth', 'Angel', 'Authent'] matches ['ablest'] is False
[' most', ' greatest', ' ', ' biggest', ' hardest'] matches ['angriest'] is False
[' most', ' cheapest', ' least', ' easiest', ' best'] matches ['cheapest'] is True
[' most', ' greatest', ' best', ' biggest', ' '] matches ['cleverest'] is False
[' most', ' cheapest', ' least', ' cost', ' greatest'] matches ['costliest'] is True
[' most', ' cruel', ' greatest', ' ', ' biggest'] matches ['cruelest'] is True
[' most', ' cut', ' c', ' greatest', ' biggest'] matches ['cutest'] is True
[' most', ' dens', ' ', ' hardest', ' least'] matches ['densest'] is True
[' most', ' dumb', ' biggest', ' ', ' greatest'] matches ['dumbest'] is True
[' most', ' ', ' biggest', ' greatest', ' best'] matches ['fiercest'] is False
[' most', ' hand', ' easiest', ' hardest', ' hands'] matches ['handiest'] is True
['OG', 'Arm', 'Angel', 'Auth', 'Authent'] matches ['happiest'] is False
[' hardest', ' most', ' h', ' hand', ' easiest'] matches ['hardiest'] is False
[' hars', ' most', ' hardest', ' h', ' greatest'] matches ['harshest'] is True
['Arm', 'OG', 'Auth', 'Angel', 'Authent'] matches ['healthiest'] is False
['OG', 'Arm', 'Auth', 'Authent', 'GO'] matches ['hottest'] is False
['OG', 'Arm', 'Auth', 'Authent', 'Amazon'] matches ['hugest'] is False
[' most', ' hottest', ' hardest', ' biggest', ' greatest'] matches ['hungriest'] is False
[' most', ' easiest', ' least', ' luck', ' '] matches ['laziest'] is False
[' most', ' biggest', ' greatest', ' least', ' easiest'] matches ['lengthiest'] is False
[' luck', ' most', ' biggest', ' ', ' happiest'] matches ['luckiest'] is True
[' most', ' happiest', ' greatest', ' best', ' h'] matches ['merriest'] is False
[' most', ' biggest', ' ', ' greatest', ' least'] matches ['mildest'] is False
[' most', ' easiest', ' greatest', ' least', ' '] matches ['neatest'] is False
['OG', 'Arm', 'Auth', 'Angel', 'GO'] matches ['nicest'] is False
[' most', ' biggest', ' ', ' least', ' busiest'] matches ['noisiest'] is False
[' most', ' ', ' least', ' best', ' biggest'] matches ['politest'] is False
[' most', ' proud', ' greatest', ' ', ' biggest'] matches ['proudest'] is True
['Arm', 'OG', 'Auth', 'Authent', 'Amazon'] matches ['purest'] is False
[' most', ' greatest', ' ', ' least', ' best'] matches ['rarest'] is False
[' most', ' least', ' hottest', ' ', ' greatest'] matches ['riskiest'] is False
[' most', ' ', ' greatest', ' biggest', ' busiest'] matches ['rudest'] is False
[' most', ' happiest', ' sadd', ' hardest', ' '] matches ['saddest'] is True
[' most', ' sc', ' ', ' least', ' safest'] matches ['scariest'] is True
[' most', ' sex', ' hottest', ' least', ' '] matches ['sexiest'] is True
[' most', ' sh', ' biggest', ' h', ' hottest'] matches ['shiniest'] is True
[' most', ' strang', ' greatest', ' ', ' biggest'] matches ['strangest'] is True
[' most', ' strict', ' least', ' ', ' hardest'] matches ['strictest'] is True
['Arm', 'OG', 'Auth', 'Angel', 'Amazon'] matches ['strongest'] is False
[' most', ' ', ' slightest', ' least', ' greatest'] matches ['subtlest'] is False
[' most', ' happiest', ' funn', ' sun', ' biggest'] matches ['sunniest'] is True
[' most', ' tast', ' best', ' hottest', ' '] matches ['tastiest'] is True
['Arm', 'OG', 'Auth', 'Angel', 'Authent'] matches ['tiniest'] is False
[' most', ' trick', ' easiest', ' hardest', ' biggest'] matches ['trickiest'] is True
[' most', ' ', ' biggest', ' easiest', ' least'] matches ['vaguest'] is False
['OG', 'Arm', 'Auth', 'Amazon', 'Author'] matches ['weakest'] is False
[' most', ' wealthiest', ' greatest', ' richest', ' biggest'] matches ['wealthiest'] is True
[' most', ' ', ' weird', ' best', ' least'] matches ['weirdest'] is True
adj - superlative,50,65,133
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['accepts'] is False
[' ', ' achieves', ' makes', ' is', ' creates'] matches ['achieves'] is True
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['adds'] is False
[' vou', 'OP', 'ju', 'g', ' ob'] matches ['agrees'] is False
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['allows'] is False
[' is', ' appears', ' ', ' makes', ' becomes'] matches ['appears'] is True
[' vou', 'OP', 'ju', ' ob', 'g'] matches ['applies'] is False
[' vou', 'OP', 'ju', 'g', 'kn'] matches ['asks'] is False
[' vou', 'OP', 'ju', ' ob', 'g'] matches ['avoids'] is False
[' becomes', ' is', ' ', ' makes', ' will'] matches ['becomes'] is True
[' ', ' is', ' believes', ' makes', ' becomes'] matches ['believes'] is True
[' vou', 'OP', 'ju', 'g', 'kn'] matches ['considers'] is False
[' is', ' ', ' happens', ' has', ' will'] matches ['consists'] is False
[' is', ' ', ' requires', ' contains', ' involves'] matches ['contains'] is True
[' vou', 'OP', 'ju', 'kn', 'g'] matches ['continues'] is False
[' vou', 'OP', 'ju', 'g', ' ob'] matches ['creates'] is False
[' is', ' describes', ' ', ' represents', ' will'] matches ['describes'] is True
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['develops'] is False
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['enables'] is False
[' is', ' ', ' makes', ' will', ' does'] matches ['enjoys'] is False
[' is', ' ', ' ensures', ' makes', ' requires'] matches ['ensures'] is True
[' vou', 'OP', 'ju', ' ob', 'g'] matches ['exists'] is False
[' explains', ' ', ' is', ' makes', ' will'] matches ['explains'] is True
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['follows'] is False
[' happens', ' makes', ' is', ' ', ' will'] matches ['happens'] is True
[' is', ' ', ' makes', ' will', ' has'] matches ['hears'] is False
[' ', ' is', ' makes', ' becomes', ' will'] matches ['identifies'] is False
[' vou', 'OP', 'ju', ' ob', 'g'] matches ['improves'] is False
[' vou', 'OP', 'ju', 'g', 'kn'] matches ['includes'] is False
[' involves', ' ', ' is', ' makes', ' requires'] matches ['involves'] is True
[' vou', 'OP', 'ju', 'kn', 'g'] matches ['learns'] is False
[' is', ' ', ' makes', ' requires', ' will'] matches ['maintains'] is False
[' is', ' occurs', ' ', ' happens', ' makes'] matches ['occurs'] is True
[' ', ' is', ' makes', ' requires', ' operates'] matches ['operates'] is True
[' is', ' ', ' makes', ' prevents', ' causes'] matches ['prevents'] is True
[' promotes', ' ', ' makes', ' is', ' requires'] matches ['promotes'] is True
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['protects'] is False
[' provides', ' ', ' is', ' makes', ' requires'] matches ['provides'] is True
[' is', ' ', ' receives', ' requires', ' becomes'] matches ['receives'] is True
[' ', ' reduces', ' is', ' makes', ' causes'] matches ['reduces'] is True
[' is', ' ', ' requires', ' refers', ' makes'] matches ['refers'] is True
[' is', ' ', ' requires', ' makes', ' will'] matches ['remains'] is False
[' vou', 'OP', 'ju', 'g', ' ob'] matches ['remembers'] is False
[' vou', 'OP', 'ju', 'g', 'nb'] matches ['represents'] is False
[' vou', 'OP', 'ju', 'nb', 'kn'] matches ['requires'] is False
[' is', ' ', ' makes', ' seems', ' will'] matches ['seems'] is True
[' vou', 'OP', 'ju', 'g', 'kn'] matches ['sends'] is False
[' vou', 'OP', 'ju', 'nb', 'g'] matches ['suggests'] is False
[' vou', 'OP', 'ju', 'g', 'kn'] matches ['tells'] is False
[' ', ' is', ' makes', ' will', ' becomes'] matches ['understands'] is False
verb_inf - 3pSg,50,84,164
[' ', ' achieve', ' make', ' ensure', ' accomplish'] matches ['achieve'] is True
[' unwittingly', ' inadvertently', ' endorsing', ' appropriate', '998'] matches ['add'] is False
[' ', ' allow', ' require', ' enable', ' make'] matches ['allow'] is True
[' ', ' appear', ' be', ' require', ' allow'] matches ['appear'] is True
[' ', ' apply', ' require', ' allow', ' enforce'] matches ['apply'] is True
[' unwittingly', ' inadvertently', '998', ' endorsing', ' oneself'] matches ['ask'] is False
[' ', ' allow', ' attend', ' be', ' apply'] matches ['attend'] is True
[' ', ' allow', ' avoid', ' make', ' be'] matches ['avoid'] is True
[' ', ' be', ' become', ' make', ' allow'] matches ['become'] is True
[' ', ' believe', ' be', ' allow', ' ensure'] matches ['believe'] is True
[' ', ' consider', ' be', ' allow', ' require'] matches ['consider'] is True
[' unwittingly', ' inadvertently', ' endorsing', ' appropriate', '998'] matches ['contain'] is False
[' ', ' continue', ' remain', ' establish', ' be'] matches ['continue'] is True
[' ', ' create', ' make', ' bring', ' establish'] matches ['create'] is True
[' ', ' develop', ' establish', ' require', ' provide'] matches ['develop'] is True
[' ', ' encourage', ' require', ' allow', ' enable'] matches ['encourage'] is True
[' ', ' be', ' allow', ' enjoy', ' make'] matches ['enjoy'] is True
[' ', ' ensure', ' require', ' make', ' assure'] matches ['ensure'] is True
[' ', ' establish', ' ensure', ' require', ' make'] matches ['establish'] is True
[' unwittingly', ' inadvertently', ' endorsing', '998', ' appropriate'] matches ['exist'] is False
[' ', ' expect', ' require', ' be', ' ensure'] matches ['expect'] is True
[' ', ' require', ' be', ' encourage', ' provide'] matches ['follow'] is False
[' ', ' be', ' make', ' become', ' occur'] matches ['happen'] is False
[' ', ' require', ' provide', ' refer', ' make'] matches ['identify'] is False
[' ', ' improve', ' provide', ' encourage', ' make'] matches ['improve'] is True
[' unwittingly', ' inadvertently', ' endorsing', ' appropriate', '998'] matches ['include'] is False
[' ', ' involve', ' require', ' be', ' imply'] matches ['involve'] is True
[' unwittingly', ' inadvertently', ' endorsing', ' appropriate', ' oneself'] matches ['learn'] is False
[' ', ' make', ' allow', ' be', ' require'] matches ['lose'] is False
[' ', ' maintain', ' remain', ' require', ' establish'] matches ['maintain'] is True
[' ', ' require', ' make', ' allow', ' manage'] matches ['manage'] is True
[' ', ' require', ' operate', ' establish', ' remain'] matches ['operate'] is True
[' unwittingly', ' inadvertently', ' appropriate', ' endorsing', ' oneself'] matches ['perform'] is False
[' ', ' allow', ' provide', ' require', ' prevent'] matches ['prevent'] is True
[' ', ' promote', ' encourage', ' require', ' bring'] matches ['promote'] is True
[' ', ' provide', ' establish', ' require', ' ensure'] matches ['protect'] is False
[' ', ' provide', ' require', ' make', ' bring'] matches ['provide'] is True
[' ', ' receive', ' be', ' require', ' remain'] matches ['receive'] is True
[' ', ' reduce', ' require', ' bring', ' encourage'] matches ['reduce'] is True
[' ', ' refer', ' require', ' be', ' relate'] matches ['refer'] is True
[' ', ' remain', ' require', ' be', ' allow'] matches ['remain'] is True
[' ', ' be', ' refer', ' remain', ' make'] matches ['remember'] is False
[' ', ' require', ' represent', ' provide', ' refer'] matches ['represent'] is True
[' require', ' ', ' enforce', ' ensure', ' provide'] matches ['require'] is True
[' ', ' be', ' make', ' require', ' allow'] matches ['seem'] is False
[' ', ' be', ' allow', ' require', ' remain'] matches ['sit'] is False
[' ', ' be', ' provide', ' make', ' require'] matches ['spend'] is False
[' ', ' teach', ' require', ' allow', ' make'] matches ['teach'] is True
[' unwittingly', ' inadvertently', '998', ' endorsing', ' oneself'] matches ['tell'] is False
[' ', ' require', ' establish', ' ensure', ' be'] matches ['understand'] is False
Ving - verb_inf,50,116,182
[' ', ' appeared', ' created', ' has', ' added'] matches ['added'] is True
[' ', ' appeared', ' declared', ' (', ' appointed'] matches ['agreed'] is False
[' enables', ' ob', ' entails', ' imposes', ' ostensibly'] matches ['allowed'] is False
[' ', ' announced', ' appeared', ' declared', ' appointed'] matches ['announced'] is True
[' appeared', ' ', ' appears', ' occurred', ' created'] matches ['appeared'] is True
[' ', ' appeared', ' applied', ' represented', ' occurred'] matches ['applied'] is True
[' ', ' appointed', ' appeared', ' created', ' ('] matches ['appointed'] is True
[' ob', ' enables', ' entails', ' ostensibly', ' imposes'] matches ['asked'] is False
[' ', ' appeared', ' created', ' became', ' ('] matches ['became'] is True
[' ', ' believed', ' appeared', ' (', ' has'] matches ['believed'] is True
[' ', ' considered', ' appeared', ' (', ' has'] matches ['considered'] is True
[' ', ' constituted', ' appeared', ' consisted', ' is'] matches ['consisted'] is True
[' ', ' contained', ' contains', ' appeared', ' represented'] matches ['contained'] is True
[' ', ' appeared', ' created', ' continued', ' constituted'] matches ['continued'] is True
[' created', ' ', ' creates', ' caused', ' established'] matches ['created'] is True
[' ', ' declared', ' decided', ' appeared', ' appointed'] matches ['decided'] is True
[' ', ' described', ' represented', ' appeared', ' created'] matches ['described'] is True
[' ', ' created', ' established', ' appeared', ' ('] matches ['developed'] is False
[' established', ' ', ' created', ' constituted', ' appeared'] matches ['established'] is True
[' ', ' appeared', ' represented', ' expected', ' ('] matches ['expected'] is True
[' ', ' appeared', ' created', ' (', ' provided'] matches ['failed'] is False
[' ', ' appeared', ' created', ' caused', ' occurred'] matches ['followed'] is False
[' ', ' appeared', ' has', ' occurred', ' caused'] matches ['happened'] is False
[' ', ' has', ' appeared', ' heard', ' represented'] matches ['heard'] is True
[' ob', ' enables', ' entails', ' ostensibly', 'Emb'] matches ['included'] is False
[' ', ' represented', ' appeared', ' intended', ' ('] matches ['intended'] is True
[' ', ' introduced', ' presented', ' appeared', ' created'] matches ['introduced'] is True
[' ', ' involved', ' appeared', ' (', ' occurred'] matches ['involved'] is True
[' ', ' located', ' appeared', ' created', ' ('] matches ['located'] is True
[' ', ' appeared', ' (', ' created', ' has'] matches ['lost'] is False
[' ', ' appeared', ' created', ' represented', ' appointed'] matches ['managed'] is False
[' ', ' appointed', ' has', ' created', ' ('] matches ['married'] is False
[' ', ' occurred', ' appeared', ' caused', ' created'] matches ['occurred'] is True
[' ', ' appeared', ' occurred', ' established', ' represented'] matches ['operated'] is False
[' performed', ' ', ' appeared', ' represented', ' presented'] matches ['performed'] is True
[' ', ' proposed', ' provided', ' presented', ' prescribed'] matches ['proposed'] is True
[' provided', ' ', ' provides', ' presented', ' created'] matches ['provided'] is True
[' ', ' published', ' established', ' created', ' appeared'] matches ['published'] is True
[' ', ' received', ' appeared', ' created', ' has'] matches ['received'] is True
[' ', ' referred', ' represented', ' appeared', ' ('] matches ['referred'] is True
[' ', ' represented', ' appeared', ' referred', ' constituted'] matches ['related'] is False
[' ', ' appeared', ' remained', ' required', ' ('] matches ['remained'] is True
[' ', ' replaced', ' appeared', ' created', ' represented'] matches ['replaced'] is True
[' represented', ' ', ' represents', ' appeared', ' presented'] matches ['represented'] is True
[' ob', ' enables', ' entails', ' ostensibly', ' imposes'] matches ['required'] is False
[' ', ' appeared', ' appears', ' seemed', ' ('] matches ['seemed'] is True
[' ', ' appeared', ' sent', ' has', ' represented'] matches ['sent'] is True
[' ', ' created', ' appeared', ' provided', ' has'] matches ['spent'] is False
[' ', ' suggested', ' appeared', ' required', ' represented'] matches ['suggested'] is True
[' ', ' appeared', ' declared', ' has', ' stated'] matches ['told'] is False
verb_3pSg - Ved,50,150,198
[' oneself', ' forgiveness', ' others', ' unfor', ' emotionally'] matches ['adds'] is False
[' oneself', ' forgiveness', ' unfor', ' others', ' emotionally'] matches ['advertises'] is False
[' ', ' is', ' appears', ' does', ' has'] matches ['allows'] is False
[' is', ' appears', ' ', ' occurs', ' has'] matches ['appears'] is True
[' ', ' applies', ' is', ' appears', ' has'] matches ['applies'] is True
[' oneself', ' forgiveness', ' unfor', ' others', ' emotionally'] matches ['asks'] is False
[' is', ' ', ' becomes', ' has', ' does'] matches ['becomes'] is True
[' believes', ' ', ' is', ' considers', ' has'] matches ['believes'] is True
[' is', ' ', ' considers', ' has', ' does'] matches ['considers'] is True
[' is', ' ', ' exists', ' occurs', ' has'] matches ['consists'] is False
[' oneself', ' forgiveness', ' unfor', ' others', ' emotionally'] matches ['contains'] is False
[' ', ' continues', ' is', ' occurs', ' has'] matches ['continues'] is True
[' creates', ' is', ' ', ' exists', ' produces'] matches ['creates'] is True
[' oneself', ' forgiveness', ' unfor', ' others', ' emotionally'] matches ['depends'] is False
[' ', ' is', ' describes', ' appears', ' has'] matches ['describes'] is True
[' develops', ' ', ' is', ' creates', ' does'] matches ['develops'] is True
[' ', ' is', ' discovers', ' develops', ' occurs'] matches ['discovers'] is True
[' ', ' is', ' enables', ' occurs', ' has'] matches ['enables'] is True
[' oneself', ' forgiveness', ' unfor', ' others', ' emotionally'] matches ['exists'] is False
[' ', ' is', ' explains', ' appears', ' understands'] matches ['explains'] is True
[' ', ' is', ' has', ' occurs', ' follows'] matches ['follows'] is True
[' is', ' happens', ' occurs', ' ', ' does'] matches ['happens'] is True
[' is', ' ', ' hears', ' has', ' does'] matches ['hears'] is True
[' is', ' ', ' improves', ' develops', ' has'] matches ['improves'] is True
[' oneself', ' forgiveness', ' unfor', ' others', ' emotionally'] matches ['includes'] is False
[' ', ' is', ' involves', ' occurs', ' has'] matches ['involves'] is True
[' oneself', ' forgiveness', ' unfor', ' others', ' emotionally'] matches ['learns'] is False
[' is', ' ', ' does', ' has', ' appears'] matches ['loses'] is False
[' ', ' is', ' has', ' does', ' develops'] matches ['manages'] is False
[' occurs', ' is', ' ', ' appears', ' happens'] matches ['occurs'] is True
[' operates', ' ', ' is', ' occurs', ' does'] matches ['operates'] is True
[' oneself', ' forgiveness', ' others', ' unfor', ' emotionally'] matches ['performs'] is False
[' ', ' is', ' promotes', ' develops', ' has'] matches ['promotes'] is True
[' provides', ' ', ' is', ' has', ' develops'] matches ['provides'] is True
[' publishes', ' is', ' ', ' creates', ' produces'] matches ['publishes'] is True
[' receives', ' is', ' ', ' has', ' accepts'] matches ['receives'] is True
[' ', ' is', ' has', ' appears', ' does'] matches ['reduces'] is False
[' ', ' is', ' refers', ' appears', ' has'] matches ['refers'] is True
[' ', ' is', ' occurs', ' has', ' involves'] matches ['relates'] is False
