2024-06-13 17:11:59 root INFO     loading model + tokenizer
2024-06-13 17:43:56 root INFO     [' ', ' (', ' cities', '\n', ' ['] matches ['villages'] is False
2024-06-13 17:43:56 root INFO     [' ', ' websites', ' (', '\n', ' and'] matches ['websites'] is True
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', ' gal'] matches ['weeks'] is False
2024-06-13 17:43:56 root INFO     ['DA', 'GD', 'dl', 'DL', 'AF'] matches ['years'] is False
2024-06-13 17:43:56 root INFO     noun - plural_reg,50,6,44

2024-06-13 17:43:56 __main__ INFO     starting test: <class 'lre.operators.JacobianIclMeanEstimator'> on Relation(name='verb_inf - Ved', prompt_templates=['If the present form is {}, the past form is', 'After I {} something, it has been'], prompt_templates_zs=['If the present form is {}, the past form is', 'After I {} something, it has been'], samples=[RelationSample(subject='accept', object=['accepted']), RelationSample(subject='achieve', object=['achieved']), RelationSample(subject='add', object=['added']), RelationSample(subject='agree', object=['agreed']), RelationSample(subject='allow', object=['allowed']), RelationSample(subject='announce', object=['announced']), RelationSample(subject='appear', object=['appeared']), RelationSample(subject='apply', object=['applied']), RelationSample(subject='ask', object=['asked']), RelationSample(subject='attend', object=['attended']), RelationSample(subject='become', object=['became']), RelationSample(subject='believe', object=['believed']), RelationSample(subject='consider', object=['considered']), RelationSample(subject='continue', object=['continued']), RelationSample(subject='create', object=['created']), RelationSample(subject='decide', object=['decided']), RelationSample(subject='describe', object=['described']), RelationSample(subject='develop', object=['developed']), RelationSample(subject='discover', object=['discovered']), RelationSample(subject='enjoy', object=['enjoyed']), RelationSample(subject='ensure', object=['ensured']), RelationSample(subject='establish', object=['established']), RelationSample(subject='expect', object=['expected']), RelationSample(subject='follow', object=['followed']), RelationSample(subject='hear', object=['heard']), RelationSample(subject='identify', object=['identified']), RelationSample(subject='improve', object=['improved']), RelationSample(subject='include', object=['included']), RelationSample(subject='introduce', object=['introduced']), RelationSample(subject='involve', object=['involved']), RelationSample(subject='locate', object=['located']), RelationSample(subject='lose', object=['lost']), RelationSample(subject='manage', object=['managed']), RelationSample(subject='marry', object=['married']), RelationSample(subject='perform', object=['performed']), RelationSample(subject='provide', object=['provided']), RelationSample(subject='publish', object=['published']), RelationSample(subject='receive', object=['received']), RelationSample(subject='reduce', object=['reduced']), RelationSample(subject='refer', object=['referred']), RelationSample(subject='relate', object=['related']), RelationSample(subject='remain', object=['remained']), RelationSample(subject='replace', object=['replaced']), RelationSample(subject='require', object=['required']), RelationSample(subject='seem', object=['seemed']), RelationSample(subject='send', object=['sent']), RelationSample(subject='spend', object=['spent']), RelationSample(subject='tell', object=['told']), RelationSample(subject='understand', object=['understood']), RelationSample(subject='unite', object=['united'])], _domain=None, _range=None)
2024-06-13 17:43:58 root INFO     starting operator prediction
2024-06-13 17:43:58 root INFO     using no context
2024-06-13 17:43:59 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:47:57 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:47:57 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:47:58 lre.operators INFO     [Jacobian] FINISHED order_1_approx 1/8
2024-06-13 17:47:58 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:51:56 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:51:56 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:51:57 lre.operators INFO     [Jacobian] FINISHED order_1_approx 2/8
2024-06-13 17:51:57 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:55:52 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:55:52 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:55:53 lre.operators INFO     [Jacobian] FINISHED order_1_approx 3/8
2024-06-13 17:55:53 root INFO     [order_1_approx] starting weight calculation
2024-06-13 17:59:48 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 17:59:48 root INFO     [order_1_approx] weight calculation finished
2024-06-13 17:59:49 lre.operators INFO     [Jacobian] FINISHED order_1_approx 4/8
2024-06-13 17:59:49 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:03:42 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:03:42 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:03:43 lre.operators INFO     [Jacobian] FINISHED order_1_approx 5/8
2024-06-13 18:03:44 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:07:40 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:07:40 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:07:41 lre.operators INFO     [Jacobian] FINISHED order_1_approx 6/8
2024-06-13 18:07:41 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:11:39 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:11:39 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:11:40 lre.operators INFO     [Jacobian] FINISHED order_1_approx 7/8
2024-06-13 18:11:40 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:15:35 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:15:35 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:15:35 lre.operators INFO     [Jacobian] FINISHED order_1_approx 8/8
2024-06-13 18:15:35 root INFO     total operator prediction time: 1896.8650500774384 seconds
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['accepted'] is False
2024-06-13 18:15:38 root INFO     [' ', ' has', ' achieved', ' performed', ' was'] matches ['achieved'] is True
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['added'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', ' inter'] matches ['agreed'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['allowed'] is False
2024-06-13 18:15:38 root INFO     [' ', ' announced', ' made', ' has', ' will'] matches ['announced'] is True
2024-06-13 18:15:38 root INFO     [' ', ' appeared', ' has', ' occurred', ' will'] matches ['appeared'] is True
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['applied'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', 'Int', '--'] matches ['asked'] is False
2024-06-13 18:15:38 root INFO     [' ', ' attended', ' has', ' is', ' received'] matches ['attended'] is True
2024-06-13 18:15:38 root INFO     [' ', ' became', ' has', ' performed', ' was'] matches ['became'] is True
2024-06-13 18:15:38 root INFO     [' ', ' believed', ' has', ' is', ' will'] matches ['believed'] is True
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['considered'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['continued'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', ' inter'] matches ['created'] is False
2024-06-13 18:15:38 root INFO     [' ', ' decided', ' involved', ' considered', ' has'] matches ['decided'] is True
2024-06-13 18:15:38 root INFO     [' ', ' described', ' related', ' referred', ' is'] matches ['described'] is True
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['developed'] is False
2024-06-13 18:15:38 root INFO     [' ', ' discovered', ' received', ' found', ' considered'] matches ['discovered'] is True
2024-06-13 18:15:38 root INFO     [' ', ' received', ' has', ' will', ' involved'] matches ['enjoyed'] is False
2024-06-13 18:15:38 root INFO     [' ', ' has', ' is', ' was', ' will'] matches ['ensured'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', ' inter'] matches ['established'] is False
2024-06-13 18:15:38 root INFO     [' ', ' is', ' has', ' expected', ' will'] matches ['expected'] is True
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['followed'] is False
2024-06-13 18:15:38 root INFO     [' ', ' has', ' received', ' was', ' will'] matches ['heard'] is False
2024-06-13 18:15:38 root INFO     [' ', ' is', ' has', ' involved', ' was'] matches ['identified'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', ' inter'] matches ['improved'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['included'] is False
2024-06-13 18:15:38 root INFO     [' introduced', ' ', ' received', ' involved', ' brought'] matches ['introduced'] is True
2024-06-13 18:15:38 root INFO     [' ', ' involved', ' has', ' was', ' is'] matches ['involved'] is True
2024-06-13 18:15:38 root INFO     [' ', ' is', ' has', ' was', ' will'] matches ['located'] is False
2024-06-13 18:15:38 root INFO     [' ', '\n', ' has', ' will', ' is'] matches ['lost'] is False
2024-06-13 18:15:38 root INFO     [' ', ' involved', ' was', ' received', ' is'] matches ['managed'] is False
2024-06-13 18:15:38 root INFO     [' ', ' will', ' has', ' was', ' related'] matches ['married'] is False
2024-06-13 18:15:38 root INFO     [' performed', ' ', ' was', ' has', ' is'] matches ['performed'] is True
2024-06-13 18:15:38 root INFO     [' ', ' provided', ' involved', ' performed', ' received'] matches ['provided'] is True
2024-06-13 18:15:38 root INFO     [' ', ' published', ' performed', ' has', ' reported'] matches ['published'] is True
2024-06-13 18:15:38 root INFO     [' received', ' ', ' has', ' receives', ' involved'] matches ['received'] is True
2024-06-13 18:15:38 root INFO     [' ', ' involved', ' has', ' received', ' used'] matches ['reduced'] is False
2024-06-13 18:15:38 root INFO     [' ', ' referred', ' received', ' related', ' referenced'] matches ['referred'] is True
2024-06-13 18:15:38 root INFO     [' related', ' ', ' involved', ' has', ' relates'] matches ['related'] is True
2024-06-13 18:15:38 root INFO     [' ', ' has', ' will', ' is', ' was'] matches ['remained'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', ' inter'] matches ['replaced'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['required'] is False
2024-06-13 18:15:38 root INFO     [' ', ' has', ' is', ' was', ' will'] matches ['seemed'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['sent'] is False
2024-06-13 18:15:38 root INFO     [' ', ' has', ' will', ' involved', ' was'] matches ['spent'] is False
2024-06-13 18:15:38 root INFO     [' ob', '-', ' int', '--', 'Int'] matches ['told'] is False
2024-06-13 18:15:38 root INFO     [' understood', ' ', ' explained', ' is', ' has'] matches ['understood'] is True
2024-06-13 18:15:38 root INFO     [' ', ' has', ' involved', ' will', ' is'] matches ['united'] is False
2024-06-13 18:15:38 root INFO     verb_inf - Ved,50,25,75

2024-06-13 18:15:38 __main__ INFO     starting test: <class 'lre.operators.JacobianIclMeanEstimator'> on Relation(name='verb_Ving - Ved', prompt_templates=['After something is {}, it has'], prompt_templates_zs=['After something is {}, it has'], samples=[RelationSample(subject='adding', object=['added']), RelationSample(subject='agreeing', object=['agreed']), RelationSample(subject='allowing', object=['allowed']), RelationSample(subject='announcing', object=['announced']), RelationSample(subject='appearing', object=['appeared']), RelationSample(subject='applying', object=['applied']), RelationSample(subject='appointing', object=['appointed']), RelationSample(subject='asking', object=['asked']), RelationSample(subject='attending', object=['attended']), RelationSample(subject='becoming', object=['became']), RelationSample(subject='considering', object=['considered']), RelationSample(subject='containing', object=['contained']), RelationSample(subject='continuing', object=['continued']), RelationSample(subject='creating', object=['created']), RelationSample(subject='deciding', object=['decided']), RelationSample(subject='describing', object=['described']), RelationSample(subject='developing', object=['developed']), RelationSample(subject='establishing', object=['established']), RelationSample(subject='existing', object=['existed']), RelationSample(subject='expecting', object=['expected']), RelationSample(subject='failing', object=['failed']), RelationSample(subject='following', object=['followed']), RelationSample(subject='hearing', object=['heard']), RelationSample(subject='improving', object=['improved']), RelationSample(subject='including', object=['included']), RelationSample(subject='introducing', object=['introduced']), RelationSample(subject='involving', object=['involved']), RelationSample(subject='locating', object=['located']), RelationSample(subject='losing', object=['lost']), RelationSample(subject='managing', object=['managed']), RelationSample(subject='marrying', object=['married']), RelationSample(subject='operating', object=['operated']), RelationSample(subject='performing', object=['performed']), RelationSample(subject='proposing', object=['proposed']), RelationSample(subject='providing', object=['provided']), RelationSample(subject='publishing', object=['published']), RelationSample(subject='receiving', object=['received']), RelationSample(subject='reducing', object=['reduced']), RelationSample(subject='relating', object=['related']), RelationSample(subject='remaining', object=['remained']), RelationSample(subject='replacing', object=['replaced']), RelationSample(subject='representing', object=['represented']), RelationSample(subject='requiring', object=['required']), RelationSample(subject='sending', object=['sent']), RelationSample(subject='spending', object=['spent']), RelationSample(subject='suffering', object=['suffered']), RelationSample(subject='teaching', object=['taught']), RelationSample(subject='telling', object=['told']), RelationSample(subject='understanding', object=['understood']), RelationSample(subject='uniting', object=['united'])], _domain=None, _range=None)
2024-06-13 18:15:40 root INFO     starting operator prediction
2024-06-13 18:15:40 root INFO     using no context
2024-06-13 18:15:40 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:19:38 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:19:38 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:19:39 lre.operators INFO     [Jacobian] FINISHED order_1_approx 1/8
2024-06-13 18:19:39 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:23:36 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:23:36 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:23:36 lre.operators INFO     [Jacobian] FINISHED order_1_approx 2/8
2024-06-13 18:23:37 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:27:31 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:27:31 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:27:32 lre.operators INFO     [Jacobian] FINISHED order_1_approx 3/8
2024-06-13 18:27:32 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:31:27 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:31:27 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:31:28 lre.operators INFO     [Jacobian] FINISHED order_1_approx 4/8
2024-06-13 18:31:28 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:35:23 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:35:23 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:35:24 lre.operators INFO     [Jacobian] FINISHED order_1_approx 5/8
2024-06-13 18:35:24 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:39:22 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:39:22 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:39:23 lre.operators INFO     [Jacobian] FINISHED order_1_approx 6/8
2024-06-13 18:39:23 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:43:18 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:43:18 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:43:19 lre.operators INFO     [Jacobian] FINISHED order_1_approx 7/8
2024-06-13 18:43:19 root INFO     [order_1_approx] starting weight calculation
2024-06-13 18:47:14 root INFO     weight size is torch.Size([4096, 4096])
2024-06-13 18:47:14 root INFO     [order_1_approx] weight calculation finished
2024-06-13 18:47:15 lre.operators INFO     [Jacobian] FINISHED order_1_approx 8/8
2024-06-13 18:47:15 root INFO     total operator prediction time: 1895.0291640758514 seconds
2024-06-13 18:47:18 root INFO     ['emb', 'Emb', 'comm', ' intellectually', ' altogether'] matches ['added'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' told', ' asked', ' wrote'] matches ['agreed'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' was', ' made', ' told'] matches ['allowed'] is False
2024-06-13 18:47:18 root INFO     [' ', ' announced', ' said', ' told', ' made'] matches ['announced'] is True
2024-06-13 18:47:18 root INFO     [' ', ' said', ' was', ' became', ' wrote'] matches ['appeared'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' made', ' wrote', ' was'] matches ['applied'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' told', ' was', ' made'] matches ['appointed'] is False
2024-06-13 18:47:18 root INFO     ['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['asked'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' was', ' began', ' became'] matches ['attended'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' became', ' was', ' wrote'] matches ['became'] is True
2024-06-13 18:47:18 root INFO     [' ', ' said', ' was', ' considered', ' discussed'] matches ['considered'] is True
2024-06-13 18:47:18 root INFO     ['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['contained'] is False
2024-06-13 18:47:18 root INFO     [' ', ' continued', ' began', ' was', ' said'] matches ['continued'] is True
2024-06-13 18:47:18 root INFO     [' created', ' ', ' wrote', ' said', ' produced'] matches ['created'] is True
2024-06-13 18:47:18 root INFO     [' ', ' told', ' said', ' decided', ' announced'] matches ['decided'] is True
2024-06-13 18:47:18 root INFO     [' ', ' described', ' wrote', ' said', ' told'] matches ['described'] is True
2024-06-13 18:47:18 root INFO     [' ', ' created', ' revealed', ' began', ' became'] matches ['developed'] is False
2024-06-13 18:47:18 root INFO     [' ', ' created', ' caused', ' became', ' stated'] matches ['established'] is False
2024-06-13 18:47:18 root INFO     ['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['existed'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' was', ' asked', ' requested'] matches ['expected'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' made', ' was', ' told'] matches ['failed'] is False
2024-06-13 18:47:18 root INFO     [' ', ' was', ' wrote', ' said', ' caused'] matches ['followed'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' was', ' told', ' made'] matches ['heard'] is False
2024-06-13 18:47:18 root INFO     [' ', ' said', ' became', ' wrote', ' made'] matches ['improved'] is False
2024-06-13 18:47:18 root INFO     ['emb', 'Emb', 'comm', ' intellectually', 'em'] matches ['included'] is False
2024-06-13 18:47:18 root INFO     [' ', ' introduced', ' became', ' announced', ' began'] matches ['introduced'] is True
2024-06-13 18:47:18 root INFO     [' ', ' was', ' involved', ' said', ' occurred'] matches ['involved'] is True
2024-06-13 18:47:18 root INFO     [' ', ' said', ' told', ' caused', ' made'] matches ['located'] is False
